course_code,course_title,description,credits,prerequisites,source_url,Required Courses for MSIST,Required Courses for MSCS
INFOST 582,Introduction to Data Science,"Introduces basic concepts, background, theoretical, practical and technological aspects of data science.",3,junior standing or consent of instructor,https://catalog.uwm.edu/courses/infost/,YES,NO
INFOST 583,Survey of Information Security,"Introduces information security concepts, issues, and technological practices related to privacy, trust, and protection of information and digital assets.",3,jr st or cons instr,https://catalog.uwm.edu/courses/infost/,YES,NO
INFOST 350,Introduction to Application Development,"Introduction to the fundamental concepts of application development. Basic application development concepts will be explained, analyzed, and practiced.",3,INFOST 110(C) or graduate standing or consent of instructor,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 790,"Project Design, Implementation, and Evaluation","Culminating experience for MSIST degree program comprising the design, implementation, and evaluation of a capstone project related to the MSIST degree tracks.",3,"graduate standing, MSIST degree candidate, INFOST 582(P), INFOST 583(P), COMPST 701(P), and COMPST 703(P); or consent of instructor",https://catalog.uwm.edu/courses/infost/,YES,NO
INFOST 547,User-Centered Interaction Design,Introduction of human-computer interaction theories and design processes. Emphasis is on applied user experience (UX) design,3,senior standing,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 584,Survey of Web and Mobile Content Development,"Current best practices and theory for the development of content and applications across different platforms, systems, and devices emphasizing responsive design and frameworks.",3,jr st or cons instr,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 660,Information Policy,"Explore various aspects of information policy including privacy, intellectual property, and intellectual freedom; covers applicable methodologies.",3,jr st,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 661,Information Ethics,"Ethical traditions, concepts, and principles for the information professions in the global information society; ethical implications of information technologies.",3,jr st & InfoSt(L&I Sci) 110(P); 501(P) or cons instr,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 671,Applied Web 3.0: Artificial Intelligence and Blockchain,"Introduction and broad survey of Web 3.0 including Artificial Intelligence AI and Blockchain. Topics: AI programming, blockchain technology and development, Artificial Intelligence, and machine learning",3,junior standing and one of the following: INFOST 350(P) or COMPSCI 351(P); or graduate standing and COMPSCI 702(P) or COMPSCI 751(P); or consent of instructor,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 691,Special Topics in Information Science,An exploration of current topics in information science.,3,junior standing or consent of instructor,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 695,Ethical Hacking I,"Fundamental concepts in computer security testing, the evolution of ethical hacking and the latest tools used in cyber security to test different computer systems.",3,INFOST 325(P) or graduate standing,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 696,Ethical Hacking II,"Advanced concepts in computer security testing, the latest tools used in cyber security to test different computer systems and the creation of personal testing tools.",3, INFOST 695(P) or consent of instructor,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 697,Cisco Routing & Switching I,"Networking and security, including IP Address translation (masking), subnetting, access lists, port security, VPNs, routing protocols and passwords.",3, jr st,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 784,Information Security Management,"Investigation of key aspects of information security management such as policy, risk analysis and management, education and awareness training, legal compliance, ethical and legal conduct.",3,grad st; InfoSt 583 (P),https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 785,Database Management Systems for Information Professionals,Study of microcomputer data base management software (DBMS) and information retrieval (IR) systems and their potential applications for information services.,3,graduate standing,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 465,Legal Aspects of Information Products and Services,"Introduction to legal environment surrounding development and use of information products and services, including intellectual property, and issues specific to internet and other digital mediums.",3,graduate standing,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 687,Data Analysis for Data Science,"Development and use of data science analysis skills in statistics, probability, forecasting, prediction, optimization, clustering and visualization.",3,graduate standing,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 714,Metadata,"Principles and application of metadata for networked information resource organization, representation, retrieval, and interoperability using a variety of schemes; focus on cultural heritage digital repositories.",3,grad st; MLIS prereqs: InfoSt 511(P); InfoSt 571(R) MSIST prereqs: InfoSt 582(P),https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 719,Advanced Topics in Information Organization,Advanced study of a particular topic in Information Organization.,3,grad st; InfoSt(L&I Sci) 511(P) or cons instr,https://catalog.uwm.edu/courses/infost/,NO,NO
INFOST 771,Data Curation,"Covers concepts and issues relevant to the curation, storage, management, and access of data including data management plans, open data initiatives, and repositories.",3,"grad st; InfoSt(L&I Sci) 501(P); 511(531)(P); 571(P), or cons instr",https://catalog.uwm.edu/courses/infost/,NO,NO
COMPSCI 351,Data Structures and Algorithms,"Programming in a structured, high-level, object-oriented language. Implementation of data structures and algorithms and their application.",3,Math Placement Level 40 orÊMATHÊ116(P) orÊMATHÊ211(P); a grade of C or better inÊCOMPSCI251,https://catalog.uwm.edu/courses/compsci/,NO,YES
COMPSCI 361,Introduction to Software Engineering,"Introduction to core topics of software engineering including requirements analysis, object-oriented design, testing, and project management. Overview of ethical and social issues in computing.",3,"a grade of C or better inÊCOMPSCI 351(P), satisfaction of GER English Composition competency requirement",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 395,"Social, Professional, and Ethical Issues","The social, professional and ethical issues that arise in the context of professional computing.",3,sophomore standing or consent of instructor.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 411,Machine Learning and Applications,"Important topics and application in machine learning, including deep learning. Provides hands-on experience with machine learning software and libraries.",3,"completion of one of the following:ÊCOMPSCI 202(P),ÊCOMPSCI 241(P), orÊCOMPSCI 250(P); or consent of instructor.",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 417,Introduction to the Theory of Computation,"Introduction to formal languages, grammars and automata. Finite state automata, pushdown automata, turing machines. Regular, context-free recursive and recursively enumerable languages. Decidability.",3,junior standing and a grade of C or better inÊCOMPSCI 317(P) orÊMATHÊ341(P).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 422,Introduction to Artificial Intelligence,"Introduction to core techniques and broad survey of AI. Topics include: Lisp, heuristic search, knowledge representation, planning, vision, learning.",3,"junior standing, COMPSCI 351(P), and a grade of C or better in COMPSCI 317(P) or both MATH 341(P) and MTHSTAT 361(P).",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 423,Introduction to Natural Language Processing,"Introduction to natural language processing programs and an overview of the field. Topics include syntactic frameworks, parsing, semantics, interpretation, and applications.",3, junior standing and a grade of C or better in COMPSCI 351(P).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 425,Introduction to Data Mining,"Algorithms for uncovering useful information from data. Topics include data exploration, association rules, clustering, supervised learning, and mining structured data (e.g., sequences or graphs).",3,Counts as repeat of COMPSCI 657 with similar topic.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 431 ,Programming Languages Concepts,"Examination of abstract features of languages. Study of syntactic and semantic models; design and programming in procedural, object-oriented, functional and logical languages. Implementation methods.",3,junior standing and a grade of C or better in COMPSCI 351(P).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 443,Intelligent User Interfaces and Usability Assessment,"Critical reading and discussion of scientific literature on the principles, methods, and current research in intelligent user interfaces including applications, architectures, and evaluation.",3,jr st.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 444,Introduction to Text Retrieval and Its Applications in Biomedicine,"Introduction to text retrieval, text classification and their biomedical applications; topics include: indexing, query processing, and document retrieval methods.",3, COMPSCI 444 and HCA 444 are jointly offered and count as repeats of one another.,https://catalog.uwm.edu/courses/compsci/,NO,NO
